"NUM_OC","OC","ARTICULO","CODIGO","DESCRIPCION","UND_MEDIDA","CANTIDAD","CTD_RECIBIDA","CTD_ACEPTADA","CTD_RECHAZADA","PRECIO","IMPORTE","MONEDA","FECHA_CREACION","FECHA_PROMETIDA","AÑO CREACIÓN","AÑO ENTREGA","PROVEEDOR","COMPRADOR","IMPORTADO","ORG_ENVIO","ESTADO","COMENTARIOS","CANCELADA","DIRECCION_ENVIO"
"101616119","101616119","1407626","01407626","FENOL USP","Kg","0","0","0","0","13","0","USD","3/15/2023","3/16/2023","2023","2023","ANDENEX CHEMIE GMBH","ANLY VIVIAN QUIROGA REY","M16-MATERIA PRIMA IMPORTADA","TQJ","CLOSED","""Despachar con vida util mayor al 80%.Enviar copia de COA por email.Despachar un solo lote proveedor ""","Y","AUTOPISTA CALI-JAMUNDI KM 23"
"101679751","101679751","10037339","10037339","PLEG. TADALAFILO MK 5mg X 10 TAB MMED (CR,NI)","milu","4","4","4","0","111,000","444,000","COP","3/1/2023","4/7/2023","2023","2023","INDUGRAFICAS S.A.S","LUIS FELIPE MONTERO CAÑAS","M19-MATERIAL EMPAQUE NACIONAL","TQJ","CLOSED","","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101679753","101679753","10036489","10036489","PLEG. TADALAFILO MK 5mg X 30 TABC (CR-NIC)","milu","2","2","2","0","386,000","772,000","COP","3/1/2023","4/7/2023","2023","2023","INDUGRAFICAS S.A.S","LUIS FELIPE MONTERO CAÑAS","M19-MATERIAL EMPAQUE NACIONAL","TQJ","CLOSED","","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101679754","101679754","25555556","25555556","META BISULFITO DE SODIO (CONTROLADO)","Kg","5","5","5","0","113,456","567,280","COP","3/1/2023","3/1/2023","2023","2023","PROFINAS SAS","SERGIO OBANDO","M13-MATERIA PRIMA NACIONAL","TQJ","CLOSED","POR FAVOR ENTREGAR EN TECNOQUIMICAS JAMUNDI KM23 VIA CALI JAMUNDI, CONATCTO LIDA TASCON, ADJUNTAR COPIA DE FACTURA Y OC","","AUTOPISTA CALI-JAMUNDI KM 23"
"101679962","101679962","49100062","49100062","CAP. 1 AMARILLO-BLANCO","milu","900","945","945","0","8,400","7,560,000","COP","3/1/2023","5/19/2023","2023","2023","C I  FARMACAPSULAS SAS","MARIA VICTORIA MEJIA BRAVO","M19-MATERIAL EMPAQUE NACIONAL","TQJ","CLOSED","","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101679969","101679969","10005637","10005637","CAP. 2 VERDE-BLANCO (DOS AROS NEGROS DULOXETINA 30mg)","milu","0","0","0","0","7,900","0","COP","3/1/2023","7/4/2023","2023","2023","C I  FARMACAPSULAS SAS","MARIA VICTORIA MEJIA BRAVO","M19-MATERIAL EMPAQUE NACIONAL","TQJ","CLOSED","","Y","AUTOPISTA CALI-JAMUNDI KM 23"
"101679972","101679972","10005336","10005336","CAP. 3 ROJO-GRIS FLUNARIZINA","milu","0","0","0","0","7,500","0","COP","3/1/2023","5/29/2023","2023","2023","C I  FARMACAPSULAS SAS","MARIA VICTORIA MEJIA BRAVO","M19-MATERIAL EMPAQUE NACIONAL","TQJ","CLOSED","","Y","AUTOPISTA CALI-JAMUNDI KM 23"
"101679977","101679977","10005333","10005333","CAP. 2 ROSADO-GRIS VALSARTAN","milu","0","0","0","0","7,900","0","COP","3/1/2023","5/25/2023","2023","2023","C I  FARMACAPSULAS SAS","MARIA VICTORIA MEJIA BRAVO","M19-MATERIAL EMPAQUE NACIONAL","TQJ","CLOSED","","Y","AUTOPISTA CALI-JAMUNDI KM 23"
"101679979","101679979","10005332","10005332","CAP. 1 AZUL ROSADO","milu","875","875","875","0","8,400","7,350,000","COP","3/1/2023","6/1/2023","2023","2023","C I  FARMACAPSULAS SAS","MARIA VICTORIA MEJIA BRAVO","M19-MATERIAL EMPAQUE NACIONAL","TQJ","CLOSED","URGENCIA - Informar la mejor fecha entrega en nuestra bodega
","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101679982","101679982","10005332","10005332","CAP. 1 AZUL ROSADO","milu","875","918","918","0","8,400","7,350,000","COP","3/1/2023","7/7/2023","2023","2023","C I  FARMACAPSULAS SAS","MARIA VICTORIA MEJIA BRAVO","M19-MATERIAL EMPAQUE NACIONAL","TQJ","CLOSED","","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101679983","101679983","10005332","10005332","CAP. 1 AZUL ROSADO","milu","0","0","0","0","8,400","0","COP","3/1/2023","6/26/2023","2023","2023","C I  FARMACAPSULAS SAS","MARIA VICTORIA MEJIA BRAVO","M19-MATERIAL EMPAQUE NACIONAL","TQJ","CLOSED","","Y","AUTOPISTA CALI-JAMUNDI KM 23"
"101679992","101679992","47102152","47102152","DIOSMIN","Kg","1,500","1,500","1,500","0","65","97,500","USD","3/1/2023","5/4/2023","2023","2023","CHEMO SA SUIZA","MARIA VICTORIA MEJIA BRAVO","M16-MATERIA PRIMA IMPORTADA","TQJ","CLOSED","""MERCANCIA PARA DESPACHO MARITIMO A LA ZONA FRANCA
""
","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101679996","101679996","47350032","47350032","HIDROCLOROTIAZIDA","Kg","1,500","1,500","1,500","0","36","54,000","USD","3/1/2023","5/31/2023","2023","2023","CHEMO SA SUIZA","MARIA VICTORIA MEJIA BRAVO","M16-MATERIA PRIMA IMPORTADA","TQJ","CLOSED","""MERCANCIA PARA DESPACHO MARITIMO A LA ZONA FRANCA
""
","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101680001","101680001","47350032","47350032","HIDROCLOROTIAZIDA","Kg","0","0","0","0","36","0","USD","3/1/2023","4/20/2023","2023","2023","CHEMO SA SUIZA","MARIA VICTORIA MEJIA BRAVO","M16-MATERIA PRIMA IMPORTADA","TQJ","CLOSED","""MERCANCIA PARA DESPACHO MARITIMO A LA ZONA FRANCA
""
","Y","AUTOPISTA CALI-JAMUNDI KM 23"
"101680007","101680007","47800483","47800483","SULTAMICILINA TOSILATO","Kg","50","50","50","0","520","26,000","USD","3/1/2023","7/27/2023","2023","2023","CHEMO SA SUIZA","MARIA VICTORIA MEJIA BRAVO","M16-MATERIA PRIMA IMPORTADA","TQT","CLOSED","Referencia Compactada","N","SYNTOFARMA BOGOTA: carrera 20 N° 166 - 70"
"101680013","101680013","47100231","47100231","CEFRADINA COMPACTADA","Kg","150","150","0","0","132","19,800","USD","3/1/2023","10/5/2023","2023","2023","CHEMO SA SUIZA","MARIA VICTORIA MEJIA BRAVO","M16-MATERIA PRIMA IMPORTADA","TQT","CLOSED","","N","SYNTOFARMA BOGOTA: carrera 20 N° 166 - 70"
"101680017","101680017","10010712","10010712","PANTOPRAZOL SODICO SESQUIHIDRATO USP","Kg","80","80","80","0","250","20,000","USD","3/1/2023","5/4/2023","2023","2023","CHEMO SA SUIZA","MARIA VICTORIA MEJIA BRAVO","M16-MATERIA PRIMA IMPORTADA","TQJ","CLOSED","","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101680029","101680029","10000219","10000219","OLMESARTAN MEDOXIMIL","Kg","20","20","20","0","700","14,000","USD","3/1/2023","6/1/2023","2023","2023","CHEMO SA SUIZA","MARIA VICTORIA MEJIA BRAVO","M16-MATERIA PRIMA IMPORTADA","TQJ","CLOSED","","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101680035","101680035","1327225","01327225","EZETIMIBE","Kg","0","0","0","0","1,500","0","USD","3/1/2023","5/25/2023","2023","2023","CHEMO SA SUIZA","MARIA VICTORIA MEJIA BRAVO","M16-MATERIA PRIMA IMPORTADA","TQJ","CLOSED","","Y","AUTOPISTA CALI-JAMUNDI KM 23"
"101680051","101680051","10009199","10009199","BOSENTAN MONOHIDRATO USP","Kg","7","7","7","0","4,000","28,000","USD","3/1/2023","7/14/2023","2023","2023","CHEMO SA SUIZA","MARIA VICTORIA MEJIA BRAVO","M16-MATERIA PRIMA IMPORTADA","TQJ","CLOSED","","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101680054","101680054","1156627","01156627","BIPERIDENO CLORHIDRATO","Kg","0","0","0","0","5,700","0","USD","3/1/2023","6/2/2023","2023","2023","UNIVERSAL PHARMACEUTICAL SUPPLIER LIMITED","LUIS FELIPE MONTERO CAÑAS","M16-MATERIA PRIMA IMPORTADA","TQJ","CLOSED","","Y","AUTOPISTA CALI-JAMUNDI KM 23"
"101680079","101680079","10033287","10033287","ALUM. BLISTER 157mm 25 mic S/IMP (CONSTANTIA)","Kg","2,500","2,563","2,563","0","9","23,325","EUR","3/1/2023","6/8/2023","2023","2023","CONSTANTIA PATZ GES MBH","MARIA VICTORIA MEJIA BRAVO","M22-MATERIAL EMPAQUE IMPORTADO","TQJ","CLOSED","","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101680080","101680080","10033287","10033287","ALUM. BLISTER 157mm 25 mic S/IMP (CONSTANTIA)","Kg","2,500","2,508","2,508","0","9","21,800","EUR","3/1/2023","7/13/2023","2023","2023","CONSTANTIA PATZ GES MBH","MARIA VICTORIA MEJIA BRAVO","M22-MATERIAL EMPAQUE IMPORTADO","TQJ","CLOSED","","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101680096","101680096","10039210","10039210","PLEG. EZETIMIBE/ROSUVASTATINA 10mg/20mg MK x 30TABC","milu","5","5","5","0","435,000","2,175,000","COP","3/1/2023","4/7/2023","2023","2023","INDUGRAFICAS S.A.S","LUIS FELIPE MONTERO CAÑAS","M19-MATERIAL EMPAQUE NACIONAL","TQJ","CLOSED","","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101680100","101680100","49704578","49704578","PVC/PE/PVdC TC-250/25/90 TRANSPARENTE-134 mm (KLOCKNER)","Kg","1,500","1,451","1,451","0","8","12,465","USD","3/1/2023","6/7/2023","2023","2023","KLOCKNER PENTAPLAST OF AMERICA INC","MARIA VICTORIA MEJIA BRAVO","M22-MATERIAL EMPAQUE IMPORTADO","TQJ","CLOSED","URGENCIA - Informar la mejor fecha entrega en nuestra bodega
","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101680106","101680106","10000914","10000914","PVC/PVdC 250/60 TRANSPARENTE- 134mm (KLOCKNER)","Kg","0","0","0","0","6","0","USD","3/1/2023","6/1/2023","2023","2023","KLOCKNER PENTAPLAST OF AMERICA INC","MARIA VICTORIA MEJIA BRAVO","M22-MATERIAL EMPAQUE IMPORTADO","TQJ","CLOSED","URGENCIA - Informar la mejor fecha entrega en nuestra bodega
","Y","AUTOPISTA CALI-JAMUNDI KM 23"
"101680111","101680111","10046526","10046526","PLEG. IRBESARTAN + AMLODIPINO 300 mg +10 mg x 10 TABC (HN-GT-RD) MMED","milu","10","11","11","0","196,000","1,960,000","COP","3/1/2023","4/7/2023","2023","2023","INDUGRAFICAS S.A.S","LUIS FELIPE MONTERO CAÑAS","M19-MATERIAL EMPAQUE NACIONAL","TQJ","CLOSED","","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101680117","101680117","10046525","10046525","PLEG. IRBESARTAN + AMLODIPINO 300 mg +10 mg x 30 TABC  (HN-GT-RD)","milu","5","5","5","0","429,000","2,145,000","COP","3/1/2023","4/7/2023","2023","2023","INDUGRAFICAS S.A.S","LUIS FELIPE MONTERO CAÑAS","M19-MATERIAL EMPAQUE NACIONAL","TQJ","CLOSED","","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101680121","101680121","10046505","10046505","PLEG. IRBESARTAN + AMLODIPINO 300 mg +5 mg x 10 TABC  (SV-HN-RD) MMED","milu","10","11","11","0","196,000","1,960,000","COP","3/1/2023","4/7/2023","2023","2023","INDUGRAFICAS S.A.S","LUIS FELIPE MONTERO CAÑAS","M19-MATERIAL EMPAQUE NACIONAL","TQJ","CLOSED","","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101680122","101680122","10012726","10012726","POLIETILENGLICOL 3350","Kg","9,072","9,072","9,072","0","6","55,884","USD","3/1/2023","5/11/2023","2023","2023","THE DOW CHEMICAL COMPANY","MARIA VICTORIA MEJIA BRAVO","M16-MATERIA PRIMA IMPORTADA","TQJ","CLOSED","","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101680124","101680124","10044826","10044826","PLEG. FEXOFENADINA MK 180 mg x 10 TABC (HN-GT-PA) MMED","milu","5","5","5","0","196,000","980,000","COP","3/1/2023","4/7/2023","2023","2023","INDUGRAFICAS S.A.S","LUIS FELIPE MONTERO CAÑAS","M19-MATERIAL EMPAQUE NACIONAL","TQJ","CLOSED","","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101680125","101680125","10012726","10012726","POLIETILENGLICOL 3350","Kg","9,072","9,072","9,072","0","6","55,884","USD","3/1/2023","5/4/2023","2023","2023","THE DOW CHEMICAL COMPANY","MARIA VICTORIA MEJIA BRAVO","M16-MATERIA PRIMA IMPORTADA","TQJ","CLOSED","","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101680126","101680126","10046170","10046170","PLEG. FEXOFENADINA MK 180 mg X 10 TABC ECU MMED","milu","15","16","16","0","196,000","2,940,000","COP","3/1/2023","4/7/2023","2023","2023","INDUGRAFICAS S.A.S","LUIS FELIPE MONTERO CAÑAS","M19-MATERIAL EMPAQUE NACIONAL","TQJ","CLOSED","","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101680127","101680127","10012726","10012726","POLIETILENGLICOL 3350","Kg","9,072","9,072","9,072","0","6","55,884","USD","3/1/2023","3/23/2023","2023","2023","THE DOW CHEMICAL COMPANY","MARIA VICTORIA MEJIA BRAVO","M16-MATERIA PRIMA IMPORTADA","TQJ","CLOSED","","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101680129","101680129","10012726","10012726","POLIETILENGLICOL 3350","Kg","9,072","9,072","9,072","0","6","55,884","USD","3/1/2023","5/11/2023","2023","2023","THE DOW CHEMICAL COMPANY","MARIA VICTORIA MEJIA BRAVO","M16-MATERIA PRIMA IMPORTADA","TQJ","CLOSED","","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101680139","101680139","10012726","10012726","POLIETILENGLICOL 3350","Kg","9,072","9,072","9,072","0","6","55,884","USD","3/1/2023","5/15/2023","2023","2023","THE DOW CHEMICAL COMPANY","MARIA VICTORIA MEJIA BRAVO","M16-MATERIA PRIMA IMPORTADA","TQJ","CLOSED","","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101680140","101680140","10012726","10012726","POLIETILENGLICOL 3350","Kg","9,072","9,072","9,072","0","6","55,884","USD","3/1/2023","5/15/2023","2023","2023","THE DOW CHEMICAL COMPANY","MARIA VICTORIA MEJIA BRAVO","M16-MATERIA PRIMA IMPORTADA","TQJ","CLOSED","","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101680141","101680141","10012726","10012726","POLIETILENGLICOL 3350","Kg","9,072","9,072","9,072","0","6","55,884","USD","3/1/2023","5/11/2023","2023","2023","THE DOW CHEMICAL COMPANY","MARIA VICTORIA MEJIA BRAVO","M16-MATERIA PRIMA IMPORTADA","TQJ","CLOSED","","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101680142","101680142","10012726","10012726","POLIETILENGLICOL 3350","Kg","9,072","9,072","9,072","0","6","55,884","USD","3/1/2023","5/11/2023","2023","2023","THE DOW CHEMICAL COMPANY","MARIA VICTORIA MEJIA BRAVO","M16-MATERIA PRIMA IMPORTADA","TQJ","CLOSED","","N","AUTOPISTA CALI-JAMUNDI KM 23"
"101680153","101680153","47550135","47550135","MELOXICAM","Kg","25","25","25","0","188","4,688","USD","3/1/2023","5/11/2023","2023","2023","ZEILLOCK INC","MARIA VICTORIA MEJIA BRAVO","M13-MATERIA PRIMA NACIONAL","TQJ","CLOSED","","N","AUTOPISTA CALI-JAMUNDI KM 23"
