Date,Destination_ID,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,Night Price($),prediction_label
2024-05-22,1,103.0,139.0,110.0,204.0,134.0,245.0,171.0,102.0,271.0,295.0,273.0,244.0,258,192.57234440962273
2024-05-23,1,258.0,103.0,139.0,110.0,204.0,134.0,245.0,171.0,102.0,271.0,295.0,273.0,144,215.2515653814129
2024-05-24,1,144.0,258.0,103.0,139.0,110.0,204.0,134.0,245.0,171.0,102.0,271.0,295.0,169,181.23273392372764
2024-05-25,1,169.0,144.0,258.0,103.0,139.0,110.0,204.0,134.0,245.0,171.0,102.0,271.0,285,202.68605105920483
2024-05-26,1,285.0,169.0,144.0,258.0,103.0,139.0,110.0,204.0,134.0,245.0,171.0,102.0,240,173.87731090584975
2024-05-27,1,240.0,285.0,169.0,144.0,258.0,103.0,139.0,110.0,204.0,134.0,245.0,171.0,106,182.76511371911886
2024-05-28,1,106.0,240.0,285.0,169.0,144.0,258.0,103.0,139.0,110.0,204.0,134.0,245.0,132,171.73197919230202
2024-05-29,1,132.0,106.0,240.0,285.0,169.0,144.0,258.0,103.0,139.0,110.0,204.0,134.0,224,219.2357528494301
2024-05-30,1,224.0,132.0,106.0,240.0,285.0,169.0,144.0,258.0,103.0,139.0,110.0,204.0,215,184.2974935145101
2024-05-31,1,215.0,224.0,132.0,106.0,240.0,285.0,169.0,144.0,258.0,103.0,139.0,110.0,147,191.95939249146625
