Origin,City,Date,Flight Price,Hotel Name,Stars,Address,Amenities,Night Price($)
Seattle,NYC,2024-01-01,360,Null,4,Null,Null,403
Seattle,NYC,2024-01-01,360,Null,5,Null,Null,1404
Chicago,NYC,2024-01-01,250,Null,4,Null,Null,403
Chicago,NYC,2024-01-01,250,Null,5,Null,Null,1404
San Francisco,NYC,2024-01-01,430,Null,4,Null,Null,403
San Francisco,NYC,2024-01-01,430,Null,5,Null,Null,1404
Los Angeles,NYC,2024-01-01,430,Null,4,Null,Null,403
Los Angeles,NYC,2024-01-01,430,Null,5,Null,Null,1404
San Diego,NYC,2024-01-01,250,Null,4,Null,Null,403
San Diego,NYC,2024-01-01,250,Null,5,Null,Null,1404
Seattle,Chicago,2024-01-01,250,Null,4,Null,Null,212
Seattle,Chicago,2024-01-01,250,Null,5,Null,Null,901
NYC,Chicago,2024-01-01,210,Null,4,Null,Null,212
NYC,Chicago,2024-01-01,210,Null,5,Null,Null,901
San Francisco,Chicago,2024-01-01,270,Null,4,Null,Null,212
San Francisco,Chicago,2024-01-01,270,Null,5,Null,Null,901
Los Angeles,Chicago,2024-01-01,250,Null,4,Null,Null,212
Los Angeles,Chicago,2024-01-01,250,Null,5,Null,Null,901
San Diego,Chicago,2024-01-01,270,Null,4,Null,Null,212
San Diego,Chicago,2024-01-01,270,Null,5,Null,Null,901
Seattle,San Francisco,2024-01-01,200,Null,4,Null,Null,228
Seattle,San Francisco,2024-01-01,200,Null,5,Null,Null,920
NYC,San Francisco,2024-01-01,410,Null,4,Null,Null,228
NYC,San Francisco,2024-01-01,410,Null,5,Null,Null,920
Chicago,San Francisco,2024-01-01,250,Null,4,Null,Null,228
Chicago,San Francisco,2024-01-01,250,Null,5,Null,Null,920
Los Angeles,San Francisco,2024-01-01,120,Null,4,Null,Null,228
Los Angeles,San Francisco,2024-01-01,120,Null,5,Null,Null,920
San Diego,San Francisco,2024-01-01,229,Null,4,Null,Null,228
San Diego,San Francisco,2024-01-01,229,Null,5,Null,Null,920
Seattle,Los Angeles,2024-01-01,220,Null,4,Null,Null,273
Seattle,Los Angeles,2024-01-01,220,Null,5,Null,Null,1575
NYC,Los Angeles,2024-01-01,380,Null,4,Null,Null,273
NYC,Los Angeles,2024-01-01,380,Null,5,Null,Null,1575
Chicago,Los Angeles,2024-01-01,250,Null,4,Null,Null,273
Chicago,Los Angeles,2024-01-01,250,Null,5,Null,Null,1575
San Francisco,Los Angeles,2024-01-01,265,Null,4,Null,Null,273
San Francisco,Los Angeles,2024-01-01,265,Null,5,Null,Null,1575
San Diego,Los Angeles,2024-01-01,120,Null,4,Null,Null,273
San Diego,Los Angeles,2024-01-01,120,Null,5,Null,Null,1575
Seattle,San Diego,2024-01-01,210,Null,4,Null,Null,406
Seattle,San Diego,2024-01-01,210,Null,5,Null,Null,1235
NYC,San Diego,2024-01-01,230,Null,4,Null,Null,406
NYC,San Diego,2024-01-01,230,Null,5,Null,Null,1235
Chicago,San Diego,2024-01-01,280,Null,4,Null,Null,406
Chicago,San Diego,2024-01-01,280,Null,5,Null,Null,1235
San Francisco,San Diego,2024-01-01,180,Null,4,Null,Null,406
San Francisco,San Diego,2024-01-01,180,Null,5,Null,Null,1235
Los Angeles,San Diego,2024-01-01,160,Null,4,Null,Null,406
Los Angeles,San Diego,2024-01-01,160,Null,5,Null,Null,1235
NYC,Seattle,2024-01-01,366,Null,4,Null,Null,304
NYC,Seattle,2024-01-01,366,Null,5,Null,Null,945
Chicago,Seattle,2024-01-01,280,Null,4,Null,Null,304
Chicago,Seattle,2024-01-01,280,Null,5,Null,Null,945
San Francisco,Seattle,2024-01-01,240,Null,4,Null,Null,304
San Francisco,Seattle,2024-01-01,240,Null,5,Null,Null,945
Los Angeles,Seattle,2024-01-01,240,Null,4,Null,Null,304
Los Angeles,Seattle,2024-01-01,240,Null,5,Null,Null,945
San Diego,Seattle,2024-01-01,200,Null,4,Null,Null,304
San Diego,Seattle,2024-01-01,200,Null,5,Null,Null,945
Seattle,NYC,2024-01-02,370,Null,4,Null,Null,269
Seattle,NYC,2024-01-02,370,Null,5,Null,Null,1879
Chicago,NYC,2024-01-02,219,Null,4,Null,Null,269
Chicago,NYC,2024-01-02,219,Null,5,Null,Null,1879
San Francisco,NYC,2024-01-02,240,Null,4,Null,Null,269
San Francisco,NYC,2024-01-02,240,Null,5,Null,Null,1879
Los Angeles,NYC,2024-01-02,283,Null,4,Null,Null,269
Los Angeles,NYC,2024-01-02,283,Null,5,Null,Null,1879
San Diego,NYC,2024-01-02,254,Null,4,Null,Null,269
San Diego,NYC,2024-01-02,254,Null,5,Null,Null,1879
Seattle,Chicago,2024-01-02,245,Null,4,Null,Null,134
Seattle,Chicago,2024-01-02,245,Null,5,Null,Null,318
NYC,Chicago,2024-01-02,222,Null,4,Null,Null,134
NYC,Chicago,2024-01-02,222,Null,5,Null,Null,318
San Francisco,Chicago,2024-01-02,250,Null,4,Null,Null,134
San Francisco,Chicago,2024-01-02,250,Null,5,Null,Null,318
Los Angeles,Chicago,2024-01-02,218,Null,4,Null,Null,134
Los Angeles,Chicago,2024-01-02,218,Null,5,Null,Null,318
San Diego,Chicago,2024-01-02,251,Null,4,Null,Null,134
San Diego,Chicago,2024-01-02,251,Null,5,Null,Null,318
Seattle,San Francisco,2024-01-02,265,Null,4,Null,Null,231
Seattle,San Francisco,2024-01-02,265,Null,5,Null,Null,610
NYC,San Francisco,2024-01-02,218,Null,4,Null,Null,231
NYC,San Francisco,2024-01-02,218,Null,5,Null,Null,610
Chicago,San Francisco,2024-01-02,209,Null,4,Null,Null,231
Chicago,San Francisco,2024-01-02,209,Null,5,Null,Null,610
Los Angeles,San Francisco,2024-01-02,131,Null,4,Null,Null,231
Los Angeles,San Francisco,2024-01-02,131,Null,5,Null,Null,610
San Diego,San Francisco,2024-01-02,207,Null,4,Null,Null,231
San Diego,San Francisco,2024-01-02,207,Null,5,Null,Null,610
Seattle,Los Angeles,2024-01-02,161,Null,4,Null,Null,205
Seattle,Los Angeles,2024-01-02,161,Null,5,Null,Null,834
NYC,Los Angeles,2024-01-02,264,Null,4,Null,Null,205
NYC,Los Angeles,2024-01-02,264,Null,5,Null,Null,834
Chicago,Los Angeles,2024-01-02,211,Null,4,Null,Null,205
Chicago,Los Angeles,2024-01-02,211,Null,5,Null,Null,834
San Francisco,Los Angeles,2024-01-02,141,Null,4,Null,Null,205
San Francisco,Los Angeles,2024-01-02,141,Null,5,Null,Null,834
San Diego,Los Angeles,2024-01-02,162,Null,4,Null,Null,205
San Diego,Los Angeles,2024-01-02,162,Null,5,Null,Null,834
Seattle,San Diego,2024-01-02,175,Null,4,Null,Null,361
Seattle,San Diego,2024-01-02,175,Null,5,Null,Null,1049
NYC,San Diego,2024-01-02,151,Null,4,Null,Null,361
NYC,San Diego,2024-01-02,151,Null,5,Null,Null,1049
Chicago,San Diego,2024-01-02,226,Null,4,Null,Null,361
Chicago,San Diego,2024-01-02,226,Null,5,Null,Null,1049
San Francisco,San Diego,2024-01-02,210,Null,4,Null,Null,361
San Francisco,San Diego,2024-01-02,210,Null,5,Null,Null,1049
Los Angeles,San Diego,2024-01-02,152,Null,4,Null,Null,361
Los Angeles,San Diego,2024-01-02,152,Null,5,Null,Null,1049
NYC,Seattle,2024-01-02,324,Null,4,Null,Null,189
NYC,Seattle,2024-01-02,324,Null,5,Null,Null,786
Chicago,Seattle,2024-01-02,231,Null,4,Null,Null,189
Chicago,Seattle,2024-01-02,231,Null,5,Null,Null,786
San Francisco,Seattle,2024-01-02,273,Null,4,Null,Null,189
San Francisco,Seattle,2024-01-02,273,Null,5,Null,Null,786
Los Angeles,Seattle,2024-01-02,219,Null,4,Null,Null,189
Los Angeles,Seattle,2024-01-02,219,Null,5,Null,Null,786
San Diego,Seattle,2024-01-02,200,Null,4,Null,Null,189
San Diego,Seattle,2024-01-02,200,Null,5,Null,Null,786
Seattle,NYC,2024-01-03,375,Null,4,Null,Null,314
Seattle,NYC,2024-01-03,375,Null,5,Null,Null,908
Chicago,NYC,2024-01-03,221,Null,4,Null,Null,314
Chicago,NYC,2024-01-03,221,Null,5,Null,Null,908
San Francisco,NYC,2024-01-03,319,Null,4,Null,Null,314
San Francisco,NYC,2024-01-03,319,Null,5,Null,Null,908
Los Angeles,NYC,2024-01-03,291,Null,4,Null,Null,314
Los Angeles,NYC,2024-01-03,291,Null,5,Null,Null,908
San Diego,NYC,2024-01-03,232,Null,4,Null,Null,314
San Diego,NYC,2024-01-03,232,Null,5,Null,Null,908
Seattle,Chicago,2024-01-03,272,Null,4,Null,Null,183
Seattle,Chicago,2024-01-03,272,Null,5,Null,Null,245
NYC,Chicago,2024-01-03,219,Null,4,Null,Null,183
NYC,Chicago,2024-01-03,219,Null,5,Null,Null,245
San Francisco,Chicago,2024-01-03,229,Null,4,Null,Null,183
San Francisco,Chicago,2024-01-03,229,Null,5,Null,Null,245
Los Angeles,Chicago,2024-01-03,243,Null,4,Null,Null,183
Los Angeles,Chicago,2024-01-03,243,Null,5,Null,Null,245
San Diego,Chicago,2024-01-03,255,Null,4,Null,Null,183
San Diego,Chicago,2024-01-03,255,Null,5,Null,Null,245
Seattle,San Francisco,2024-01-03,269,Null,4,Null,Null,178
Seattle,San Francisco,2024-01-03,269,Null,5,Null,Null,894
NYC,San Francisco,2024-01-03,218,Null,4,Null,Null,178
NYC,San Francisco,2024-01-03,218,Null,5,Null,Null,894
Chicago,San Francisco,2024-01-03,216,Null,4,Null,Null,178
Chicago,San Francisco,2024-01-03,216,Null,5,Null,Null,894
Los Angeles,San Francisco,2024-01-03,123,Null,4,Null,Null,178
Los Angeles,San Francisco,2024-01-03,123,Null,5,Null,Null,894
San Diego,San Francisco,2024-01-03,213,Null,4,Null,Null,178
San Diego,San Francisco,2024-01-03,213,Null,5,Null,Null,894
Seattle,Los Angeles,2024-01-03,159,Null,4,Null,Null,228
Seattle,Los Angeles,2024-01-03,159,Null,5,Null,Null,841
NYC,Los Angeles,2024-01-03,274,Null,4,Null,Null,228
NYC,Los Angeles,2024-01-03,274,Null,5,Null,Null,841
Chicago,Los Angeles,2024-01-03,209,Null,4,Null,Null,228
Chicago,Los Angeles,2024-01-03,209,Null,5,Null,Null,841
San Francisco,Los Angeles,2024-01-03,146,Null,4,Null,Null,228
San Francisco,Los Angeles,2024-01-03,146,Null,5,Null,Null,841
San Diego,Los Angeles,2024-01-03,144,Null,4,Null,Null,228
San Diego,Los Angeles,2024-01-03,144,Null,5,Null,Null,841
Seattle,San Diego,2024-01-03,176,Null,4,Null,Null,357
Seattle,San Diego,2024-01-03,176,Null,5,Null,Null,940
NYC,San Diego,2024-01-03,196,Null,4,Null,Null,357
NYC,San Diego,2024-01-03,196,Null,5,Null,Null,940
Chicago,San Diego,2024-01-03,211,Null,4,Null,Null,357
Chicago,San Diego,2024-01-03,211,Null,5,Null,Null,940
San Francisco,San Diego,2024-01-03,196,Null,4,Null,Null,357
San Francisco,San Diego,2024-01-03,196,Null,5,Null,Null,940
Los Angeles,San Diego,2024-01-03,145,Null,4,Null,Null,357
Los Angeles,San Diego,2024-01-03,145,Null,5,Null,Null,940
NYC,Seattle,2024-01-03,387,Null,4,Null,Null,247
NYC,Seattle,2024-01-03,387,Null,5,Null,Null,579
Chicago,Seattle,2024-01-03,240,Null,4,Null,Null,247
Chicago,Seattle,2024-01-03,240,Null,5,Null,Null,579
San Francisco,Seattle,2024-01-03,228,Null,4,Null,Null,247
San Francisco,Seattle,2024-01-03,228,Null,5,Null,Null,579
Los Angeles,Seattle,2024-01-03,200,Null,4,Null,Null,247
Los Angeles,Seattle,2024-01-03,200,Null,5,Null,Null,579
San Diego,Seattle,2024-01-03,211,Null,4,Null,Null,247
San Diego,Seattle,2024-01-03,211,Null,5,Null,Null,579
Seattle,NYC,2024-01-04,338,Null,4,Null,Null,377
Seattle,NYC,2024-01-04,338,Null,5,Null,Null,519
Chicago,NYC,2024-01-04,231,Null,4,Null,Null,377
Chicago,NYC,2024-01-04,231,Null,5,Null,Null,519
San Francisco,NYC,2024-01-04,233,Null,4,Null,Null,377
San Francisco,NYC,2024-01-04,233,Null,5,Null,Null,519
Los Angeles,NYC,2024-01-04,287,Null,4,Null,Null,377
Los Angeles,NYC,2024-01-04,287,Null,5,Null,Null,519
San Diego,NYC,2024-01-04,286,Null,4,Null,Null,377
San Diego,NYC,2024-01-04,286,Null,5,Null,Null,519
Seattle,Chicago,2024-01-04,276,Null,4,Null,Null,191
