Date,Hotel Name,Stars,Destination,Address,Amenities,Night Price($)
1/1/2024,Null,4,Los Angeles,Null,Null,273
2/1/2024,Null,4,Los Angeles,Null,Null,205
3/1/2024,Null,4,Los Angeles,Null,Null,228
4/1/2024,Null,4,Los Angeles,Null,Null,205
5/1/2024,Null,4,Los Angeles,Null,Null,181
6/1/2024,Null,4,Los Angeles,Null,Null,224
7/1/2024,Null,4,Los Angeles,Null,Null,267
8/1/2024,Null,4,Los Angeles,Null,Null,233
9/1/2024,Null,4,Los Angeles,Null,Null,244
10/1/2024,Null,4,Los Angeles,Null,Null,234
11/1/2024,Null,4,Los Angeles,Null,Null,271
12/1/2024,Null,4,Los Angeles,Null,Null,229
13-01-2024,Null,4,Los Angeles,Null,Null,320
14-01-2024,Null,4,Los Angeles,Null,Null,327
15-01-2024,Null,4,Los Angeles,Null,Null,266
16-01-2024,Null,4,Los Angeles,Null,Null,265
17-01-2024,Null,4,Los Angeles,Null,Null,222
18-01-2024,Null,4,Los Angeles,Null,Null,202
19-01-2024,Null,4,Los Angeles,Null,Null,223
20-01-2024,Null,4,Los Angeles,Null,Null,281
21-01-2024,Null,4,Los Angeles,Null,Null,325
22-01-2024,Null,4,Los Angeles,Null,Null,272
23-01-2024,Null,4,Los Angeles,Null,Null,210
24-01-2024,Null,4,Los Angeles,Null,Null,252
25-01-2024,Null,4,Los Angeles,Null,Null,226
26-01-2024,Null,4,Los Angeles,Null,Null,256
27-01-2024,Null,4,Los Angeles,Null,Null,327
28-01-2024,Null,4,Los Angeles,Null,Null,274
29-01-2024,Null,4,Los Angeles,Null,Null,198
30-01-2024,Null,4,Los Angeles,Null,Null,268
31-01-2024,Null,4,Los Angeles,Null,Null,279
1/1/2024,Null,5,Los Angeles,Null,Null,1575
2/1/2024,Null,5,Los Angeles,Null,Null,834
3/1/2024,Null,5,Los Angeles,Null,Null,841
4/1/2024,Null,5,Los Angeles,Null,Null,584
5/1/2024,Null,5,Los Angeles,Null,Null,2990
6/1/2024,Null,5,Los Angeles,Null,Null,1340
7/1/2024,Null,5,Los Angeles,Null,Null,2999
8/1/2024,Null,5,Los Angeles,Null,Null,1010
9/1/2024,Null,5,Los Angeles,Null,Null,2942
10/1/2024,Null,5,Los Angeles,Null,Null,2862
11/1/2024,Null,5,Los Angeles,Null,Null,2967
12/1/2024,Null,5,Los Angeles,Null,Null,3124
13-01-2024,Null,5,Los Angeles,Null,Null,1751
14-01-2024,Null,5,Los Angeles,Null,Null,1479
15-01-2024,Null,5,Los Angeles,Null,Null,547
16-01-2024,Null,5,Los Angeles,Null,Null,2866
17-01-2024,Null,5,Los Angeles,Null,Null,2948
18-01-2024,Null,5,Los Angeles,Null,Null,1447
19-01-2024,Null,5,Los Angeles,Null,Null,2327
20-01-2024,Null,5,Los Angeles,Null,Null,1521
21-01-2024,Null,5,Los Angeles,Null,Null,2366
22-01-2024,Null,5,Los Angeles,Null,Null,1021
23-01-2024,Null,5,Los Angeles,Null,Null,1270
24-01-2024,Null,5,Los Angeles,Null,Null,1286
25-01-2024,Null,5,Los Angeles,Null,Null,2980
26-01-2024,Null,5,Los Angeles,Null,Null,900
27-01-2024,Null,5,Los Angeles,Null,Null,2838
28-01-2024,Null,5,Los Angeles,Null,Null,1508
29-01-2024,Null,5,Los Angeles,Null,Null,2991
30-01-2024,Null,5,Los Angeles,Null,Null,1325
31-01-2024,Null,5,Los Angeles,Null,Null,447
1/1/2024,Null,4,San Francisco,Null,Null,228
2/1/2024,Null,4,San Francisco,Null,Null,231
3/1/2024,Null,4,San Francisco,Null,Null,178
4/1/2024,Null,4,San Francisco,Null,Null,189
5/1/2024,Null,4,San Francisco,Null,Null,220
6/1/2024,Null,4,San Francisco,Null,Null,274
7/1/2024,Null,4,San Francisco,Null,Null,260
8/1/2024,Null,4,San Francisco,Null,Null,196
9/1/2024,Null,4,San Francisco,Null,Null,190
10/1/2024,Null,4,San Francisco,Null,Null,187
11/1/2024,Null,4,San Francisco,Null,Null,213
12/1/2024,Null,4,San Francisco,Null,Null,235
13-01-2024,Null,4,San Francisco,Null,Null,236
14-01-2024,Null,4,San Francisco,Null,Null,209
15-01-2024,Null,4,San Francisco,Null,Null,171
16-01-2024,Null,4,San Francisco,Null,Null,207
17-01-2024,Null,4,San Francisco,Null,Null,206
18-01-2024,Null,4,San Francisco,Null,Null,206
19-01-2024,Null,4,San Francisco,Null,Null,220
20-01-2024,Null,4,San Francisco,Null,Null,239
21-01-2024,Null,4,San Francisco,Null,Null,237
22-01-2024,Null,4,San Francisco,Null,Null,185
23-01-2024,Null,4,San Francisco,Null,Null,215
24-01-2024,Null,4,San Francisco,Null,Null,158
25-01-2024,Null,4,San Francisco,Null,Null,199
26-01-2024,Null,4,San Francisco,Null,Null,165
27-01-2024,Null,4,San Francisco,Null,Null,240
28-01-2024,Null,4,San Francisco,Null,Null,277
29-01-2024,Null,4,San Francisco,Null,Null,202
30-01-2024,Null,4,San Francisco,Null,Null,205
31-01-2024,Null,4,San Francisco,Null,Null,177
1/1/2024,Null,5,San Francisco,Null,Null,920
2/1/2024,Null,5,San Francisco,Null,Null,610
3/1/2024,Null,5,San Francisco,Null,Null,894
4/1/2024,Null,5,San Francisco,Null,Null,1204
5/1/2024,Null,5,San Francisco,Null,Null,1248
6/1/2024,Null,5,San Francisco,Null,Null,977
7/1/2024,Null,5,San Francisco,Null,Null,1491
8/1/2024,Null,5,San Francisco,Null,Null,432
9/1/2024,Null,5,San Francisco,Null,Null,729
10/1/2024,Null,5,San Francisco,Null,Null,1520
11/1/2024,Null,5,San Francisco,Null,Null,969
12/1/2024,Null,5,San Francisco,Null,Null,1286
13-01-2024,Null,5,San Francisco,Null,Null,1115
14-01-2024,Null,5,San Francisco,Null,Null,706
15-01-2024,Null,5,San Francisco,Null,Null,1407
16-01-2024,Null,5,San Francisco,Null,Null,1141
17-01-2024,Null,5,San Francisco,Null,Null,281
18-01-2024,Null,5,San Francisco,Null,Null,346
19-01-2024,Null,5,San Francisco,Null,Null,549
20-01-2024,Null,5,San Francisco,Null,Null,673
21-01-2024,Null,5,San Francisco,Null,Null,415
22-01-2024,Null,5,San Francisco,Null,Null,1019
23-01-2024,Null,5,San Francisco,Null,Null,549
24-01-2024,Null,5,San Francisco,Null,Null,293
25-01-2024,Null,5,San Francisco,Null,Null,946
26-01-2024,Null,5,San Francisco,Null,Null,808
27-01-2024,Null,5,San Francisco,Null,Null,513
28-01-2024,Null,5,San Francisco,Null,Null,1335
29-01-2024,Null,5,San Francisco,Null,Null,298
30-01-2024,Null,5,San Francisco,Null,Null,831
31-01-2024,Null,5,San Francisco,Null,Null,1479
1/1/2024,Null,4,San Diego,Null,Null,406
2/1/2024,Null,4,San Diego,Null,Null,361
3/1/2024,Null,4,San Diego,Null,Null,357
4/1/2024,Null,4,San Diego,Null,Null,365
5/1/2024,Null,4,San Diego,Null,Null,342
6/1/2024,Null,4,San Diego,Null,Null,401
7/1/2024,Null,4,San Diego,Null,Null,390
8/1/2024,Null,4,San Diego,Null,Null,333
9/1/2024,Null,4,San Diego,Null,Null,359
10/1/2024,Null,4,San Diego,Null,Null,355
11/1/2024,Null,4,San Diego,Null,Null,359
12/1/2024,Null,4,San Diego,Null,Null,363
13-01-2024,Null,4,San Diego,Null,Null,394
14-01-2024,Null,4,San Diego,Null,Null,388
15-01-2024,Null,4,San Diego,Null,Null,345
16-01-2024,Null,4,San Diego,Null,Null,363
17-01-2024,Null,4,San Diego,Null,Null,343
18-01-2024,Null,4,San Diego,Null,Null,364
19-01-2024,Null,4,San Diego,Null,Null,344
20-01-2024,Null,4,San Diego,Null,Null,409
21-01-2024,Null,4,San Diego,Null,Null,416
22-01-2024,Null,4,San Diego,Null,Null,363
23-01-2024,Null,4,San Diego,Null,Null,360
24-01-2024,Null,4,San Diego,Null,Null,365
25-01-2024,Null,4,San Diego,Null,Null,366
26-01-2024,Null,4,San Diego,Null,Null,342
27-01-2024,Null,4,San Diego,Null,Null,394
28-01-2024,Null,4,San Diego,Null,Null,401
29-01-2024,Null,4,San Diego,Null,Null,360
30-01-2024,Null,4,San Diego,Null,Null,340
31-01-2024,Null,4,San Diego,Null,Null,337
1/1/2024,Null,5,San Diego,Null,Null,1235
2/1/2024,Null,5,San Diego,Null,Null,1049
3/1/2024,Null,5,San Diego,Null,Null,940
4/1/2024,Null,5,San Diego,Null,Null,451
5/1/2024,Null,5,San Diego,Null,Null,417
6/1/2024,Null,5,San Diego,Null,Null,855
7/1/2024,Null,5,San Diego,Null,Null,718
8/1/2024,Null,5,San Diego,Null,Null,379
9/1/2024,Null,5,San Diego,Null,Null,798
10/1/2024,Null,5,San Diego,Null,Null,965
11/1/2024,Null,5,San Diego,Null,Null,676
12/1/2024,Null,5,San Diego,Null,Null,349
13-01-2024,Null,5,San Diego,Null,Null,1016
14-01-2024,Null,5,San Diego,Null,Null,1012
15-01-2024,Null,5,San Diego,Null,Null,1214
16-01-2024,Null,5,San Diego,Null,Null,757
17-01-2024,Null,5,San Diego,Null,Null,1056
18-01-2024,Null,5,San Diego,Null,Null,1053
19-01-2024,Null,5,San Diego,Null,Null,932
20-01-2024,Null,5,San Diego,Null,Null,417
21-01-2024,Null,5,San Diego,Null,Null,954
22-01-2024,Null,5,San Diego,Null,Null,449
