origin,destination,date_from,date_to,flight_price,hotel_name,stars,address,amenities,hotel_price,total_price
Seattle,NYC,2024-01-01,2024-01-06,360,Null,4,Null,Null,403,763
Seattle,NYC,2024-01-01,2024-01-03,360,Null,5,Null,Null,1404,1764
Chicago,NYC,2024-01-01,2024-01-04,250,Null,4,Null,Null,403,653
Chicago,NYC,2024-01-01,2024-01-03,250,Null,5,Null,Null,1404,1654
San Francisco,NYC,2024-01-01,2024-01-06,430,Null,4,Null,Null,403,833
San Francisco,NYC,2024-01-01,2024-01-04,430,Null,5,Null,Null,1404,1834
Los Angeles,NYC,2024-01-01,2024-01-08,430,Null,4,Null,Null,403,833
Los Angeles,NYC,2024-01-01,2024-01-03,430,Null,5,Null,Null,1404,1834
San Diego,NYC,2024-01-01,2024-01-06,250,Null,4,Null,Null,403,653
San Diego,NYC,2024-01-01,2024-01-08,250,Null,5,Null,Null,1404,1654
Seattle,Chicago,2024-01-01,2024-01-06,250,Null,4,Null,Null,212,462
Seattle,Chicago,2024-01-01,2024-01-04,250,Null,5,Null,Null,901,1151
NYC,Chicago,2024-01-01,2024-01-06,210,Null,4,Null,Null,212,422
NYC,Chicago,2024-01-01,2024-01-07,210,Null,5,Null,Null,901,1111
San Francisco,Chicago,2024-01-01,2024-01-02,270,Null,4,Null,Null,212,482
San Francisco,Chicago,2024-01-01,2024-01-04,270,Null,5,Null,Null,901,1171
Los Angeles,Chicago,2024-01-01,2024-01-07,250,Null,4,Null,Null,212,462
Los Angeles,Chicago,2024-01-01,2024-01-07,250,Null,5,Null,Null,901,1151
San Diego,Chicago,2024-01-01,2024-01-04,270,Null,4,Null,Null,212,482
San Diego,Chicago,2024-01-01,2024-01-02,270,Null,5,Null,Null,901,1171
Seattle,San Francisco,2024-01-01,2024-01-06,200,Null,4,Null,Null,228,428
Seattle,San Francisco,2024-01-01,2024-01-07,200,Null,5,Null,Null,920,1120
NYC,San Francisco,2024-01-01,2024-01-05,410,Null,4,Null,Null,228,638
NYC,San Francisco,2024-01-01,2024-01-04,410,Null,5,Null,Null,920,1330
Chicago,San Francisco,2024-01-01,2024-01-08,250,Null,4,Null,Null,228,478
